drift_type,detector,mean_delay,median_delay,std_delay,mean_runtime_sec,std_runtime_sec,detection_rate
abrupt,EADD,149.0,149.0,0.0,11.990365466591902,0.09288065190890872,1.0
abrupt,D3,122.0,122.0,0.0,0.07472265000105835,0.0005210666058532849,1.0
gradual,EADD,629.0,649.0,24.49489742783178,11.956925683200826,0.014813842594475385,1.0
gradual,D3,644.6,725.0,98.46948765988377,0.07389598359004594,0.0009268156891702805,1.0
incremental,EADD,1709.0,1749.0,171.46428199482247,11.942073466809234,0.01552268229095939,1.0
recurring,EADD,139.0,149.0,20.0,13.086785033397609,0.026046278487369318,1.0
recurring,D3,122.0,122.0,0.0,0.06795414999360219,7.195564695519048e-05,1.0
